  epoch 1 | step     50 | loss=1.0002 ret=0.9955 dec=0.0475 | enc_lr=6.13e-06 head_lr=2.45e-04
  epoch 1 | step    100 | loss=0.8481 ret=0.8447 dec=0.0337 | enc_lr=1.23e-05 head_lr=4.90e-04
  epoch 1 | step    150 | loss=0.6666 ret=0.6647 dec=0.0190 | enc_lr=1.84e-05 head_lr=7.35e-04
  epoch 1 | step    200 | loss=0.7091 ret=0.7079 dec=0.0123 | enc_lr=2.45e-05 head_lr=9.80e-04
  epoch 1 | step    250 | loss=0.6738 ret=0.6728 dec=0.0101 | enc_lr=3.06e-05 head_lr=1.23e-03
  epoch 1 | step    300 | loss=0.5789 ret=0.5779 dec=0.0102 | enc_lr=3.68e-05 head_lr=1.47e-03
  epoch 1 | step    350 | loss=0.6683 ret=0.6673 dec=0.0100 | enc_lr=4.29e-05 head_lr=1.72e-03
  epoch 1 | step    400 | loss=0.6844 ret=0.6832 dec=0.0112 | enc_lr=4.90e-05 head_lr=1.96e-03
  epoch 1 | step    450 | loss=0.6838 ret=0.6827 dec=0.0109 | enc_lr=5.00e-05 head_lr=2.00e-03
  epoch 1 | step    500 | loss=0.6809 ret=0.6798 dec=0.0110 | enc_lr=4.99e-05 head_lr=2.00e-03
  epoch 1 | step    550 | loss=0.6274 ret=0.6263 dec=0.0110 | enc_lr=4.98e-05 head_lr=1.99e-03
  epoch 1 | step    600 | loss=0.7255 ret=0.7245 dec=0.0100 | enc_lr=4.97e-05 head_lr=1.99e-03
  epoch 1 | step    650 | loss=0.6655 ret=0.6644 dec=0.0106 | enc_lr=4.95e-05 head_lr=1.98e-03
  epoch 1 | step    700 | loss=0.5328 ret=0.5317 dec=0.0105 | enc_lr=4.92e-05 head_lr=1.97e-03
  epoch 1 | step    750 | loss=0.5904 ret=0.5893 dec=0.0107 | enc_lr=4.89e-05 head_lr=1.96e-03
  epoch 1 | step    800 | loss=0.6519 ret=0.6509 dec=0.0103 | enc_lr=4.86e-05 head_lr=1.94e-03
Epoch 1/5 | loss=0.7459 ret=0.7438 dec=0.0211 | 1433s
  epoch 2 | step    850 | loss=0.5089 ret=0.5079 dec=0.0099 | enc_lr=4.82e-05 head_lr=1.93e-03
  epoch 2 | step    900 | loss=0.5806 ret=0.5796 dec=0.0099 | enc_lr=4.78e-05 head_lr=1.91e-03
  epoch 2 | step    950 | loss=0.5520 ret=0.5509 dec=0.0103 | enc_lr=4.74e-05 head_lr=1.89e-03
  epoch 2 | step   1000 | loss=0.5793 ret=0.5783 dec=0.0098 | enc_lr=4.69e-05 head_lr=1.87e-03
  epoch 2 | step   1050 | loss=0.5690 ret=0.5680 dec=0.0100 | enc_lr=4.63e-05 head_lr=1.85e-03
  epoch 2 | step   1100 | loss=0.6640 ret=0.6630 dec=0.0100 | enc_lr=4.57e-05 head_lr=1.83e-03
  epoch 2 | step   1150 | loss=0.5950 ret=0.5940 dec=0.0099 | enc_lr=4.51e-05 head_lr=1.81e-03
  epoch 2 | step   1200 | loss=0.5763 ret=0.5753 dec=0.0098 | enc_lr=4.45e-05 head_lr=1.78e-03
  epoch 2 | step   1250 | loss=0.5844 ret=0.5834 dec=0.0099 | enc_lr=4.38e-05 head_lr=1.75e-03
  epoch 2 | step   1300 | loss=0.4762 ret=0.4752 dec=0.0100 | enc_lr=4.31e-05 head_lr=1.72e-03
  epoch 2 | step   1350 | loss=0.5322 ret=0.5312 dec=0.0104 | enc_lr=4.23e-05 head_lr=1.69e-03
  epoch 2 | step   1400 | loss=0.5309 ret=0.5298 dec=0.0106 | enc_lr=4.15e-05 head_lr=1.66e-03
  epoch 2 | step   1450 | loss=0.5072 ret=0.5061 dec=0.0112 | enc_lr=4.07e-05 head_lr=1.63e-03
  epoch 2 | step   1500 | loss=0.5555 ret=0.5544 dec=0.0113 | enc_lr=3.99e-05 head_lr=1.59e-03
